region,stock,year,assessment_related_considerations,ecosystem_considerations,fishery_informed_stock_considerations,population_dynamics_considerations,max_score,author_suggested_reduction,ssc_recommended_reduction
GOA,GOA Flathead sole,2022,1,1,1,1,1,,
GOA,GOA Flathead sole,2023,,,,,,,
GOA,GOA Flathead sole,2024,,,,,,,
GOA,GOA Northern Rockfish,2018,,,,,,,
GOA,GOA Northern Rockfish,2019,,,,,,,
GOA,GOA Northern Rockfish,2020,1,1,1,1,1,,
GOA,GOA Northern Rockfish,2021,,,,,,,
GOA,GOA Northern Rockfish,2022,1,1,1,2,2,,
GOA,GOA Northern Rockfish,2023,,,,,,,
GOA,GOA Northern Rockfish,2024,1,1,1,2,2,,
GOA,GOA Octopus,2018,,,,,,,
GOA,GOA Octopus,2019,1,1,1,1,1,,
GOA,GOA Octopus,2020,,,,,,,
GOA,GOA Octopus,2021,,,,,,,
GOA,GOA Octopus,2022,,,,,,,
GOA,GOA Octopus,2023,,,,,,,
GOA,GOA Octopus,2024,,,,,,,
GOA,GOA other rockfish,2018,,,,,,,
GOA,GOA other rockfish,2019,1,1,1,1,1,,
GOA,GOA other rockfish,2020,,,,,,,
GOA,GOA other rockfish,2021,,,,,,,
GOA,GOA other rockfish,2022,,,,,,,
GOA,GOA other rockfish,2023,1,1,1,1,1,,
GOA,GOA other rockfish,2024,1,1,1,1,1,,
GOA,GOA Pcod,2018,2,2,,4,4,0.14,0.14
GOA,GOA Pcod,2019,2,2,1,2,2,Deferred,
GOA,GOA Pcod,2020,2,1,1,2,2,,
GOA,GOA Pcod,2021,1,1,1,1,1,,2021 ABC set to 2020 ABC
GOA,GOA Pcod,2022,2,1,1,2,2,,
GOA,GOA Pcod,2023,1,1,1,2,2,,
GOA,GOA Pcod,2024,1,1,1,2,2,,
GOA,GOA pollock,2018,2,2,,2,2,0.15,0.15
GOA,GOA pollock,2019,2,1,1,1,2,0.1,0.1
GOA,GOA pollock,2020,1,1,1,1,1,,
GOA,GOA pollock,2021,1,1,1,1,1,,
GOA,GOA pollock,2022,1,1,1,1,1,,
GOA,GOA pollock,2023,2,1,1,1,2,,0.18
GOA,GOA pollock,2024,1,1,1,1,1,,
GOA,GOA POP,2018,,,,,,,
GOA,GOA POP,2019,2,1,1,2,2,,
GOA,GOA POP,2020,2,1,1,2,2,,
GOA,GOA POP,2021,2,1,1,2,2,,
GOA,GOA POP,2022,,,,,,,
GOA,GOA POP,2023,2,1,1,2,2,,
GOA,GOA POP,2024,,,,,,,
GOA,GOA Rex sole,2018,,,,,,,
GOA,GOA Rex sole,2019,,,,,,,
GOA,GOA Rex sole,2020,,,,,,,
GOA,GOA Rex sole,2021,2,1,1,2,2,,
GOA,GOA Rex sole,2022,,,,,,,
GOA,GOA Rex sole,2023,,,,,,,
GOA,GOA Rex sole,2024,,,,,,,
GOA,GOA Rougheye / Blackspotted,2018,,,,,,,
GOA,GOA Rougheye / Blackspotted,2019,1,1,1,1,1,,
GOA,GOA Rougheye / Blackspotted,2020,,,,,,,
GOA,GOA Rougheye / Blackspotted,2021,2,1,1,1,2,,
GOA,GOA Rougheye / Blackspotted,2022,,,,,,,
GOA,GOA Rougheye / Blackspotted,2023,2,1,1,2,2,0.2,0.2
GOA,GOA Rougheye / Blackspotted,2024,,,,,,,
GOA,GOA sculpin,2018,,,,,,,
GOA,GOA sculpin,2019,,,,,,,
GOA,GOA sculpin,2020,,,,,,,
GOA,GOA sculpin,2021,,,,,,,
GOA,GOA sculpin,2022,,,,,,,
GOA,GOA sculpin,2023,,,,,,,
GOA,GOA sculpin,2024,,,,,,,
GOA,GOA Northern and Southern Rock Sole,2018,,,,,,,
GOA,GOA Northern and Southern Rock Sole,2019,,,,,,,
GOA,GOA Northern and Southern Rock Sole,2020,,,,,,,
GOA,GOA Northern and Southern Rock Sole,2021,2,1,1,1,2,,
GOA,GOA Northern and Southern Rock Sole,2022,,,,,,,
GOA,GOA Northern and Southern Rock Sole,2023,,,,,,,
GOA,GOA Northern and Southern Rock Sole,2024,,,,,,,
GOA,GOA Sharks,2018,,,,,,,
GOA,GOA Sharks,2019,,,,,,,
GOA,GOA Sharks,2020,2,1,1,2,2,,
GOA,GOA Sharks,2021,,,,,,,
GOA,GOA Sharks,2022,3,1,1,2,3,,
GOA,GOA Sharks,2023,,,,,,,
GOA,GOA Sharks,2024,,,,,,,
GOA,GOA Shortraker,2018,,,,,,,
GOA,GOA Shortraker,2019,1,1,1,1,1,,
GOA,GOA Shortraker,2020,,,,,,,
GOA,GOA Shortraker,2021,1,1,1,1,1,,
GOA,GOA Shortraker,2022,,,,,,,
GOA,GOA Shortraker,2023,1,1,1,1,1,,
GOA,GOA Shortraker,2024,,,,,,,
GOA,GOA Skates,2018,,,,,,,
GOA,GOA Skates,2019,1,1,1,1,1,,
GOA,GOA Skates,2020,,,,,,,
GOA,GOA Skates,2021,1,1,1,1,1,,
GOA,GOA Skates,2022,,,,,,,
GOA,GOA Skates,2023,1,1,1,1,1,,
GOA,GOA Skates,2024,,,,,,,
GOA,GOA Thornyheads,2018,,,,,,,
GOA,GOA Thornyheads,2019,,,,,,,
GOA,GOA Thornyheads,2020,1,1,1,1,1,,
GOA,GOA Thornyheads,2021,,,,,,,
GOA,GOA Thornyheads,2022,1,1,1,1,1,,
GOA,GOA Thornyheads,2023,,,,,,,
GOA,GOA Thornyheads,2024,1,1,1,1,1,,
GOA,Sablefish,2018,2,2,,4,4,0.45,0.45
GOA,Sablefish,2019,2,2,3,3,3,0.57,0.5
GOA,Sablefish,2020,3,2,3,3,3,0.57,0.44
GOA,Sablefish,2021,1,1,2,2,2,,
GOA,Sablefish,2022,1,1,1,1,1,,
GOA,Sablefish,2023,1,1,2,1,2,,
GOA,Sablefish,2024,1,1,1,1,1,,
